"Datum","PM10","Ca","Cl","K","Mg","Na","NH4","NO3","kraj","PM10err","PM10corr","NaCl"
"9/8/2014",31,1.26,0.0114,0.326,0.225,0.075,1.02,0.575,"Celje",6.82,37.82,0.0864
"9/18/2014",33,1.17,0.115,0.298,0.175,0.0508,1.84,0.652,"Celje",7.26,40.26,0.1658
"10/6/2014",37,0.857,0.0621,0.381,0.188,0.0906,3.89,0.809,"Celje",8.14,45.14,0.1527
"10/7/2014",41,1.19,0.0739,0.357,0.256,0.0756,3,1.12,"Celje",9.02,50.02,0.1495
"10/28/2014",36,0.895,0.171,0.435,0.155,0.0864,1.67,3.51,"Celje",7.92,43.92,0.2574
"10/29/2014",42,0.977,0.219,0.548,0.173,0.0521,1.97,4.66,"Celje",9.24,51.24,0.2711
"10/30/2014",51,1.32,0.219,0.731,0.198,0.0693,1.84,6,"Celje",11.22,62.22,0.2883
"10/31/2014",49,0.846,0.269,0.671,0.179,0.0894,2.43,7.33,"Celje",10.78,59.78,0.3584
"11/1/2014",44,0.418,0.253,0.517,0.091,0.0622,2.89,8.13,"Celje",9.68,53.68,0.3152
"11/2/2014",40,0.437,0.243,0.679,0.0971,0.0369,1.46,2.21,"Celje",8.8,48.8,0.2799
"11/3/2014",49,0.693,0.429,0.789,0.14,0.0531,1.67,5.84,"Celje",10.78,59.78,0.4821
"11/22/2014",45,0.494,0.455,0.791,0.114,0.0585,2.49,6.4,"Celje",9.9,54.9,0.5135
"11/25/2014",35,0.157,0.221,0.639,0.0293,0.0657,4.75,6.83,"Celje",7.7,42.7,0.2867
"11/26/2014",47,0.414,0.277,0.828,0.0735,0.0564,6.06,10.4,"Celje",10.34,57.34,0.3334
"11/27/2014",54,0.546,0.289,0.83,0.106,0.0505,6.62,13.1,"Celje",11.88,65.88,0.3395
"11/28/2014",61,0.244,0.648,1.15,0.048,0.0909,5.98,9.1,"Celje",13.42,74.42,0.7389
"11/29/2014",46,0.154,0.442,0.875,0.0545,0.0927,3.72,6.39,"Celje",10.12,56.12,0.5347
"12/17/2014",32,0.174,0.426,0.591,0.0367,0.0685,1.45,3.64,"Celje",7.04,39.04,0.4945
"12/19/2014",37,0.412,0.266,0.606,0.107,0.0538,0.515,1.8,"Celje",8.14,45.14,0.3198
"12/22/2014",48,0.985,0.568,0.724,0.126,0.242,0.389,2.74,"Celje",10.56,58.56,0.81
"12/23/2014",44,1.62,0.35,0.629,0.116,0.106,0.725,5.15,"Celje",9.68,53.68,0.456
"12/27/2014",39,0.237,0.513,0.867,0.086,0.0979,1.39,3.35,"Celje",8.58,47.58,0.6109
"12/29/2014",34,0.181,1.01,0.837,0.0543,0.488,1.05,2.15,"Celje",7.48,41.48,1.498
"12/30/2014",50,0.212,0.838,0.913,0.0508,0.47,1.76,4.36,"Celje",11,61,1.308
"12/31/2014",44,0.13,0.615,1.25,0.0622,0.241,2.61,5.87,"Celje",9.68,53.68,0.856
"1/1/2015",97,0.207,1.47,4.13,0.304,0.326,3.65,10.1,"Celje",21.34,118.34,1.796
"1/2/2015",100,0.315,1.1,2.54,0.0993,0.28,4.91,13.1,"Celje",22,122,1.38
"1/3/2015",61,0.087,0.715,1.44,0.0238,0.197,2.32,5.72,"Celje",13.42,74.42,0.912
"1/6/2015",43,0.414,0.525,0.842,0.132,0.264,1.15,4.25,"Celje",9.46,52.46,0.789
"1/7/2015",51,0.217,0.412,0.879,0.0422,0.122,2.11,5.88,"Celje",11.22,62.22,0.534
"1/8/2015",65,0.415,0.98,1.32,0.0917,0.325,2.76,7.84,"Celje",14.3,79.3,1.305
"1/9/2015",43,0.204,0.581,0.782,0.0547,0.285,1.99,5.66,"Celje",9.46,52.46,0.866
"1/10/2015",62,0.153,0.589,1.16,0.0384,0.187,4.15,11.7,"Celje",13.64,75.64,0.776
"1/12/2015",32,0.163,0.398,0.686,0.0307,0.138,1.79,5.12,"Celje",7.04,39.04,0.536
"1/15/2015",41,0.305,0.824,0.864,0.0712,0.282,1.89,5.3,"Celje",9.02,50.02,1.106
"1/16/2015",42,0.238,1.07,0.795,0.0921,0.714,2.07,6.45,"Celje",9.24,51.24,1.784
