Datum,PM10,kraj
2014-01-01,36.2,Ljubljana
2014-01-02,22,Ljubljana
2014-01-03,24.7,Ljubljana
2014-01-04,21.2,Ljubljana
2014-01-05,14.1,Ljubljana
2014-01-06,26,Ljubljana
2014-01-07,22.7,Ljubljana
2014-01-08,34,Ljubljana
2014-01-09,27.2,Ljubljana
2014-01-10,20.1,Ljubljana
2014-01-11,24.7,Ljubljana
2014-01-12,26.2,Ljubljana
2014-01-13,25.1,Ljubljana
2014-01-14,27.4,Ljubljana
2014-01-15,30.2,Ljubljana
2014-01-16,18.8,Ljubljana
2014-01-17,15.2,Ljubljana
2014-01-18,23,Ljubljana
2014-01-19,22.2,Ljubljana
2014-01-20,17.9,Ljubljana
2014-01-21,22.6,Ljubljana
2014-01-22,35.7,Ljubljana
2014-01-23,31.9,Ljubljana
2014-01-24,6.6,Ljubljana
2014-01-25,22.8,Ljubljana
2014-01-26,28.4,Ljubljana
2014-01-27,44.7,Ljubljana
2014-01-28,59.2,Ljubljana
2014-01-29,52.6,Ljubljana
2014-01-30,75.6,Ljubljana
2014-01-31,73,Ljubljana
2014-02-01,43.5,Ljubljana
2014-02-02,25.4,Ljubljana
2014-02-03,29.3,Ljubljana
2014-02-04,47.2,Ljubljana
2014-02-05,68.9,Ljubljana
2014-02-06,52.1,Ljubljana
2014-02-07,24,Ljubljana
2014-02-08,23.6,Ljubljana
2014-02-09,15.8,Ljubljana
2014-02-10,30.1,Ljubljana
2014-02-11,24.2,Ljubljana
2014-02-12,18.3,Ljubljana
2014-02-13,20.8,Ljubljana
2014-02-14,22.1,Ljubljana
2014-02-15,28,Ljubljana
2014-02-16,23.6,Ljubljana
2014-02-17,23.6,Ljubljana
2014-02-18,33.5,Ljubljana
2014-02-19,49.7,Ljubljana
2014-02-20,12.1,Ljubljana
2014-02-21,43.6,Ljubljana
2014-02-22,20.8,Ljubljana
2014-02-23,23.9,Ljubljana
2014-02-24,42.7,Ljubljana
2014-02-25,40.5,Ljubljana
2014-02-26,32.7,Ljubljana
2014-02-27,18.6,Ljubljana
2014-02-28,17,Ljubljana
2014-03-01,19.7,Ljubljana
2014-03-02,29.8,Ljubljana
2014-03-03,43,Ljubljana
2014-03-04,21.7,Ljubljana
2014-03-05,31.1,Ljubljana
2014-03-06,27.7,Ljubljana
2014-03-07,45.3,Ljubljana
2014-03-08,49.1,Ljubljana
2014-03-09,44.1,Ljubljana
2014-03-10,36.9,Ljubljana
2014-03-11,43.6,Ljubljana
2014-03-12,59.5,Ljubljana
2014-03-13,68.9,Ljubljana
2014-03-14,67,Ljubljana
2014-03-15,54.4,Ljubljana
2014-03-16,48.9,Ljubljana
2014-03-17,47.2,Ljubljana
2014-03-18,48.1,Ljubljana
2014-03-19,33.2,Ljubljana
2014-03-20,32.8,Ljubljana
2014-03-21,36,Ljubljana
2014-03-22,23,Ljubljana
2014-03-23,9.9,Ljubljana
2014-03-24,8.2,Ljubljana
2014-03-25,16.7,Ljubljana
2014-03-26,23.3,Ljubljana
2014-03-27,22.6,Ljubljana
2014-03-28,25.7,Ljubljana
2014-03-29,36.8,Ljubljana
2014-03-30,34.4,Ljubljana
2014-03-31,43.9,Ljubljana
2014-04-01,42.7,Ljubljana
2014-04-02,40.9,Ljubljana
2014-04-03,33.4,Ljubljana
2014-04-04,42.6,Ljubljana
2014-04-05,29.6,Ljubljana
2014-04-06,25.4,Ljubljana
2014-04-07,25.6,Ljubljana
2014-04-08,28.4,Ljubljana
2014-04-09,7.3,Ljubljana
2014-04-10,14.8,Ljubljana
2014-04-11,14.9,Ljubljana
2014-04-12,19.1,Ljubljana
2014-04-13,14.9,Ljubljana
2014-04-14,15,Ljubljana
2014-04-15,6.9,Ljubljana
2014-04-16,10.8,Ljubljana
2014-04-17,15.4,Ljubljana
2014-04-18,20.8,Ljubljana
2014-04-19,18.1,Ljubljana
2014-04-20,9.2,Ljubljana
2014-04-21,10.9,Ljubljana
2014-04-22,11.8,Ljubljana
2014-04-23,16.9,Ljubljana
2014-04-24,19.7,Ljubljana
2014-04-25,16.1,Ljubljana
2014-04-26,19.8,Ljubljana
2014-04-27,19.9,Ljubljana
2014-04-28,19.2,Ljubljana
2014-04-29,14.8,Ljubljana
2014-04-30,20.9,Ljubljana
2014-05-01,29.7,Ljubljana
2014-05-02,14.9,Ljubljana
2014-05-03,10.3,Ljubljana
2014-05-04,10.2,Ljubljana
2014-05-05,18.7,Ljubljana
2014-05-06,20,Ljubljana
2014-05-07,16.6,Ljubljana
2014-05-08,10.2,Ljubljana
2014-05-09,17.1,Ljubljana
2014-05-10,14.5,Ljubljana
2014-05-11,13.7,Ljubljana
2014-05-12,7.8,Ljubljana
2014-05-13,7.6,Ljubljana
2014-05-14,6.6,Ljubljana
2014-05-15,7.8,Ljubljana
2014-05-16,8.2,Ljubljana
2014-05-17,10.4,Ljubljana
2014-05-18,10,Ljubljana
2014-05-19,13.5,Ljubljana
2014-05-20,13.8,Ljubljana
2014-05-21,24.8,Ljubljana
2014-05-22,25.5,Ljubljana
2014-05-23,33.8,Ljubljana
2014-05-24,28.1,Ljubljana
2014-05-25,23.5,Ljubljana
2014-05-26,14.3,Ljubljana
2014-05-27,11.9,Ljubljana
2014-05-28,10.6,Ljubljana
2014-05-29,9.7,Ljubljana
2014-05-30,8.6,Ljubljana
2014-05-31,10,Ljubljana
2014-06-01,12.2,Ljubljana
2014-06-02,16,Ljubljana
2014-06-03,13.5,Ljubljana
2014-06-04,17,Ljubljana
2014-06-05,17.4,Ljubljana
2014-06-06,17.6,Ljubljana
2014-06-07,19.9,Ljubljana
2014-06-08,21.2,Ljubljana
2014-06-09,24.8,Ljubljana
2014-06-10,27.3,Ljubljana
2014-06-11,30.8,Ljubljana
2014-06-12,32.3,Ljubljana
2014-06-13,13.8,Ljubljana
2014-06-14,11.6,Ljubljana
2014-06-15,9.7,Ljubljana
2014-06-16,15.1,Ljubljana
2014-06-17,23,Ljubljana
2014-06-18,31.2,Ljubljana
2014-06-19,27.1,Ljubljana
2014-06-20,17.6,Ljubljana
2014-06-21,6.5,Ljubljana
2014-06-22,19.8,Ljubljana
2014-06-23,18.9,Ljubljana
2014-06-24,8.1,Ljubljana
2014-06-25,6.3,Ljubljana
2014-06-26,10,Ljubljana
2014-06-27,16.9,Ljubljana
2014-06-28,16.7,Ljubljana
2014-06-29,14,Ljubljana
2014-06-30,4,Ljubljana
2014-07-01,12.4,Ljubljana
2014-07-02,10.7,Ljubljana
2014-07-03,11.3,Ljubljana
2014-07-04,16.9,Ljubljana
2014-07-05,19.8,Ljubljana
2014-07-06,19.1,Ljubljana
2014-07-07,19.9,Ljubljana
2014-07-08,9,Ljubljana
2014-07-09,4.8,Ljubljana
2014-07-10,4.6,Ljubljana
2014-07-11,12.4,Ljubljana
2014-07-12,13.1,Ljubljana
2014-07-13,9.4,Ljubljana
2014-07-14,13.3,Ljubljana
2014-07-15,13.2,Ljubljana
2014-07-16,17.3,Ljubljana
2014-07-17,21.8,Ljubljana
2014-07-18,24.5,Ljubljana
2014-07-19,27.6,Ljubljana
2014-07-20,22,Ljubljana
2014-07-21,17,Ljubljana
2014-07-22,13,Ljubljana
2014-07-23,13.1,Ljubljana
2014-07-24,15.8,Ljubljana
2014-07-25,19.7,Ljubljana
2014-07-26,15.4,Ljubljana
2014-07-27,14.7,Ljubljana
2014-07-28,17.5,Ljubljana
2014-07-29,12.6,Ljubljana
2014-07-30,10.9,Ljubljana
2014-07-31,17.4,Ljubljana
2014-08-01,13.4,Ljubljana
2014-08-02,18.6,Ljubljana
2014-08-03,14.3,Ljubljana
2014-08-04,17.6,Ljubljana
2014-08-05,7.4,Ljubljana
2014-08-06,11.2,Ljubljana
2014-08-07,18.8,Ljubljana
2014-08-08,18,Ljubljana
2014-08-09,18.6,Ljubljana
2014-08-10,16.3,Ljubljana
2014-08-11,20.1,Ljubljana
2014-08-12,10,Ljubljana
2014-08-13,16.1,Ljubljana
2014-08-14,5.4,Ljubljana
2014-08-15,8.7,Ljubljana
2014-08-16,9.3,Ljubljana
2014-08-17,9.7,Ljubljana
2014-08-18,12.5,Ljubljana
2014-08-19,17.1,Ljubljana
2014-08-20,17.2,Ljubljana
2014-08-21,7.1,Ljubljana
2014-08-22,14.1,Ljubljana
2014-08-23,12.7,Ljubljana
2014-08-24,7.8,Ljubljana
2014-08-25,10.2,Ljubljana
2014-08-26,16.1,Ljubljana
2014-08-27,10.4,Ljubljana
2014-08-28,12.4,Ljubljana
2014-08-29,20.6,Ljubljana
2014-08-30,23,Ljubljana
2014-08-31,26.5,Ljubljana
2014-09-01,5.4,Ljubljana
2014-09-02,10.4,Ljubljana
2014-09-03,16.2,Ljubljana
2014-09-04,33,Ljubljana
2014-09-05,31.9,Ljubljana
2014-09-06,18.2,Ljubljana
2014-09-07,26.2,Ljubljana
2014-09-08,30,Ljubljana
2014-09-09,23,Ljubljana
2014-09-10,13.6,Ljubljana
2014-09-11,10.4,Ljubljana
2014-09-12,12.2,Ljubljana
2014-09-13,7.9,Ljubljana
2014-09-14,13.5,Ljubljana
2014-09-15,16.1,Ljubljana
2014-09-16,14,Ljubljana
2014-09-17,18.8,Ljubljana
2014-09-18,31.8,Ljubljana
2014-09-19,26.7,Ljubljana
2014-09-20,16.9,Ljubljana
2014-09-21,15.1,Ljubljana
2014-09-22,10.9,Ljubljana
2014-09-23,18,Ljubljana
2014-09-24,20.5,Ljubljana
2014-09-25,21.4,Ljubljana
2014-09-26,18.8,Ljubljana
2014-09-27,18,Ljubljana
2014-09-28,NA,Ljubljana
2014-09-29,NA,Ljubljana
2014-09-30,NA,Ljubljana
