state,county,candidate,party,votes
Delaware,Kent County,Joe Biden,DEM,44518
Delaware,Kent County,Donald Trump,REP,40976
Delaware,Kent County,Jo Jorgensen,LIB,1044
Delaware,Kent County,Howie Hawkins,GRN,420
Delaware,Kent County, Write-ins,WRI,0
Delaware,New Castle County,Joe Biden,DEM,194238
Delaware,New Castle County,Donald Trump,REP,87685
Delaware,New Castle County,Jo Jorgensen,LIB,2932
Delaware,New Castle County,Howie Hawkins,GRN,1278
Delaware,New Castle County, Write-ins,WRI,0
Delaware,Sussex County,Donald Trump,REP,71196
Delaware,Sussex County,Joe Biden,DEM,56657
Delaware,Sussex County,Jo Jorgensen,LIB,1003
Delaware,Sussex County,Howie Hawkins,GRN,437
District of Columbia,District of Columbia,Joe Biden,DEM,29509
District of Columbia,District of Columbia,Donald Trump,REP,1149
District of Columbia,District of Columbia, Write-ins,WRI,186
District of Columbia,District of Columbia,Howie Hawkins,GRN,185
District of Columbia,District of Columbia,Jo Jorgensen,LIB,134
District of Columbia,District of Columbia,Gloria La Riva,PSL,73
District of Columbia,District of Columbia,Brock Pierce,IND,24
District of Columbia,Ward 2,Joe Biden,DEM,24247
District of Columbia,Ward 2,Donald Trump,REP,2365
District of Columbia,Ward 2, Write-ins,WRI,274
District of Columbia,Ward 2,Jo Jorgensen,LIB,214
District of Columbia,Ward 2,Howie Hawkins,GRN,92
District of Columbia,Ward 2,Gloria La Riva,PSL,36
District of Columbia,Ward 2,Brock Pierce,IND,31
District of Columbia,Ward 3,Joe Biden,DEM,33584
District of Columbia,Ward 3,Donald Trump,REP,2972
District of Columbia,Ward 3, Write-ins,WRI,344
District of Columbia,Ward 3,Jo Jorgensen,LIB,248
District of Columbia,Ward 3,Howie Hawkins,GRN,128
District of Columbia,Ward 3,Gloria La Riva,PSL,55
District of Columbia,Ward 3,Brock Pierce,IND,46
District of Columbia,Ward 4,Joe Biden,DEM,35117
District of Columbia,Ward 4,Donald Trump,REP,1467
District of Columbia,Ward 4, Write-ins,WRI,219
District of Columbia,Ward 4,Howie Hawkins,GRN,186
District of Columbia,Ward 4,Jo Jorgensen,LIB,100
District of Columbia,Ward 4,Gloria La Riva,PSL,91
District of Columbia,Ward 4,Brock Pierce,IND,43
District of Columbia,Ward 5,Joe Biden,DEM,36585
District of Columbia,Ward 5,Donald Trump,REP,1416
District of Columbia,Ward 5, Write-ins,WRI,241
District of Columbia,Ward 5,Howie Hawkins,GRN,216
District of Columbia,Ward 5,Jo Jorgensen,LIB,157
District of Columbia,Ward 5,Gloria La Riva,PSL,92
District of Columbia,Ward 5,Brock Pierce,IND,71
District of Columbia,Ward 6,Joe Biden,DEM,44699
District of Columbia,Ward 6,Donald Trump,REP,3360
District of Columbia,Ward 6, Write-ins,WRI,625
District of Columbia,Ward 6,Jo Jorgensen,LIB,403
District of Columbia,Ward 6,Howie Hawkins,GRN,166
District of Columbia,Ward 6,Gloria La Riva,PSL,79
District of Columbia,Ward 6,Brock Pierce,IND,62
District of Columbia,Ward 7,Joe Biden,DEM,30253
District of Columbia,Ward 7,Donald Trump,REP,885
District of Columbia,Ward 7, Write-ins,WRI,209
District of Columbia,Ward 7,Howie Hawkins,GRN,186
District of Columbia,Ward 7,Brock Pierce,IND,112
District of Columbia,Ward 7,Jo Jorgensen,LIB,91
District of Columbia,Ward 7,Gloria La Riva,PSL,87
District of Columbia,Ward 8,Joe Biden,DEM,24567
District of Columbia,Ward 8,Donald Trump,REP,835
District of Columbia,Ward 8, Write-ins,WRI,159
District of Columbia,Ward 8,Howie Hawkins,GRN,143
District of Columbia,Ward 8,Brock Pierce,IND,125
District of Columbia,Ward 8,Gloria La Riva,PSL,107
District of Columbia,Ward 8,Jo Jorgensen,LIB,102
Florida,Alachua County,Joe Biden,DEM,89527
Florida,Alachua County,Donald Trump,REP,50891
Florida,Alachua County,Jo Jorgensen,LIB,1389
Florida,Alachua County, Write-ins,WRI,461
Florida,Alachua County,Howie Hawkins,GRN,301
Florida,Alachua County,Gloria La Riva,PSL,94
Florida,Alachua County,Rocky De La Fuente,ALI,69
Florida,Alachua County,Don Blankenship,CST,52
Florida,Baker County,Donald Trump,REP,11911
Florida,Baker County,Joe Biden,DEM,2037
Florida,Baker County,Jo Jorgensen,LIB,93
Florida,Baker County, Write-ins,WRI,23
Florida,Baker County,Howie Hawkins,GRN,10
Florida,Baker County,Rocky De La Fuente,ALI,4
Florida,Baker County,Gloria La Riva,PSL,3
Florida,Baker County,Don Blankenship,CST,1
Florida,Bay County,Donald Trump,REP,65993
Florida,Bay County,Joe Biden,DEM,25538
Florida,Bay County,Jo Jorgensen,LIB,997
Florida,Bay County, Write-ins,WRI,205
Florida,Bay County,Howie Hawkins,GRN,141
Florida,Bay County,Rocky De La Fuente,ALI,54
Florida,Bay County,Don Blankenship,CST,52
Florida,Bay County,Gloria La Riva,PSL,45
Florida,Bradford County,Donald Trump,REP,10334
Florida,Bradford County,Joe Biden,DEM,3160
Florida,Bradford County,Jo Jorgensen,LIB,110
Florida,Bradford County, Write-ins,WRI,19
Florida,Bradford County,Howie Hawkins,GRN,11
Florida,Bradford County,Rocky De La Fuente,ALI,7
Florida,Bradford County,Don Blankenship,CST,6
Florida,Bradford County,Gloria La Riva,PSL,3
Florida,Brevard County,Donald Trump,REP,207700
Florida,Brevard County,Joe Biden,DEM,148403
Florida,Brevard County,Jo Jorgensen,LIB,3173
Florida,Brevard County,Howie Hawkins,GRN,551
Florida,Brevard County,Rocky De La Fuente,ALI,221
Florida,Brevard County,Don Blankenship,CST,171
Florida,Brevard County,Gloria La Riva,PSL,164
Florida,Broward County,Joe Biden,DEM,617689
Florida,Broward County,Donald Trump,REP,332960
Florida,Broward County,Jo Jorgensen,LIB,3100
Florida,Broward County,Howie Hawkins,GRN,1251
Florida,Broward County,Rocky De La Fuente,ALI,426
Florida,Broward County,Gloria La Riva,PSL,413
Florida,Broward County,Don Blankenship,CST,237
Florida,Broward County, Write-ins,WRI,0
Florida,Calhoun County,Donald Trump,REP,5269
Florida,Calhoun County,Joe Biden,DEM,1206
Florida,Calhoun County,Jo Jorgensen,LIB,29
Florida,Calhoun County, Write-ins,WRI,11
Florida,Calhoun County,Rocky De La Fuente,ALI,4
Florida,Calhoun County,Howie Hawkins,GRN,4
Florida,Calhoun County,Gloria La Riva,PSL,4
Florida,Calhoun County,Don Blankenship,CST,2
Florida,Charlotte County,Donald Trump,REP,73202
Florida,Charlotte County,Joe Biden,DEM,42240
Florida,Charlotte County,Jo Jorgensen,LIB,564
Florida,Charlotte County, Write-ins,WRI,222
Florida,Charlotte County,Howie Hawkins,GRN,127
Florida,Charlotte County,Rocky De La Fuente,ALI,49
Florida,Charlotte County,Don Blankenship,CST,45
Florida,Charlotte County,Gloria La Riva,PSL,32
Florida,Citrus County,Donald Trump,REP,65230
Florida,Citrus County,Joe Biden,DEM,27049
Florida,Citrus County,Jo Jorgensen,LIB,548
Florida,Citrus County, Write-ins,WRI,189
Florida,Citrus County,Howie Hawkins,GRN,86
Florida,Citrus County,Don Blankenship,CST,49
Florida,Citrus County,Rocky De La Fuente,ALI,42
Florida,Citrus County,Gloria La Riva,PSL,30
Florida,Clay County,Donald Trump,REP,84422
Florida,Clay County,Joe Biden,DEM,38248
Florida,Clay County,Jo Jorgensen,LIB,1280
Florida,Clay County, Write-ins,WRI,263
Florida,Clay County,Howie Hawkins,GRN,153
Florida,Clay County,Don Blankenship,CST,57
Florida,Clay County,Gloria La Riva,PSL,54
Florida,Clay County,Rocky De La Fuente,ALI,45
Florida,Collier County,Donald Trump,REP,128820
Florida,Collier County,Joe Biden,DEM,77529
Florida,Collier County,Jo Jorgensen,LIB,887
Florida,Collier County,Howie Hawkins,GRN,186
Florida,Collier County,Rocky De La Fuente,ALI,64
Florida,Collier County,Gloria La Riva,PSL,49
Florida,Collier County,Don Blankenship,CST,39
Florida,Columbia County,Donald Trump,REP,23819
Florida,Columbia County,Joe Biden,DEM,8900
Florida,Columbia County,Jo Jorgensen,LIB,224
Florida,Columbia County,Howie Hawkins,GRN,28
Florida,Columbia County,Gloria La Riva,PSL,20
Florida,Columbia County,Rocky De La Fuente,ALI,12
Florida,Columbia County,Don Blankenship,CST,8
Florida,Columbia County, Write-ins,WRI,0
Florida,DeSoto County,Donald Trump,REP,8292
Florida,DeSoto County,Joe Biden,DEM,4249
Florida,DeSoto County,Jo Jorgensen,LIB,52
Florida,DeSoto County, Write-ins,WRI,17
Florida,DeSoto County,Rocky De La Fuente,ALI,12
Florida,DeSoto County,Gloria La Riva,PSL,11
Florida,DeSoto County,Howie Hawkins,GRN,8
Florida,DeSoto County,Don Blankenship,CST,4
Florida,Dixie County,Donald Trump,REP,6757
Florida,Dixie County,Joe Biden,DEM,1364
Florida,Dixie County,Jo Jorgensen,LIB,27
Florida,Dixie County, Write-ins,WRI,6
Florida,Dixie County,Rocky De La Fuente,ALI,5
Florida,Dixie County,Howie Hawkins,GRN,5
Florida,Dixie County,Don Blankenship,CST,4
Florida,Dixie County,Gloria La Riva,PSL,2
Florida,Duval County,Joe Biden,DEM,251952
Florida,Duval County,Donald Trump,REP,233316
Florida,Duval County,Jo Jorgensen,LIB,4762
Florida,Duval County,Howie Hawkins,GRN,771
Florida,Duval County,Gloria La Riva,PSL,328
Florida,Duval County,Rocky De La Fuente,ALI,319
Florida,Duval County,Don Blankenship,CST,217
Florida,Escambia County,Donald Trump,REP,96573
Florida,Escambia County,Joe Biden,DEM,70824
Florida,Escambia County,Jo Jorgensen,LIB,2138
Florida,Escambia County,Howie Hawkins,GRN,255
Florida,Escambia County,Gloria La Riva,PSL,136
Florida,Escambia County,Rocky De La Fuente,ALI,105
Florida,Escambia County,Don Blankenship,CST,92
Florida,Escambia County, Write-ins,WRI,0
Florida,Flagler County,Donald Trump,REP,42991
Florida,Flagler County,Joe Biden,DEM,28124
Florida,Flagler County,Jo Jorgensen,LIB,358
Florida,Flagler County, Write-ins,WRI,152
Florida,Flagler County,Howie Hawkins,GRN,69
Florida,Flagler County,Rocky De La Fuente,ALI,30
