"Datum","PM10","Ca","Cl","K","Mg","Na","NH4","NO3","kraj"
"1/17/2014",22,0.186,0.297,0.577,0.0374,0.145,0.639,1.98,"Kranj"
"1/18/2014",32,0.132,0.528,0.735,0.0235,0.109,0.877,2.71,"Kranj"
"1/19/2014",30,0.145,0.381,0.577,0.0363,0.159,1.08,2.72,"Kranj"
"1/20/2014",16,0.127,0.17,0.383,0.0428,0.0608,0.628,2.01,"Kranj"
"1/21/2014",24,0.202,0.16,0.418,0.0365,0.0346,1.22,3.62,"Kranj"
"1/22/2014",32,0.61,0.231,0.615,0.0734,0.0468,1.14,3.83,"Kranj"
"1/23/2014",31,0.226,0.245,0.632,0.0507,0.0627,1.84,4.95,"Kranj"
"1/24/2014",18,0.097,0.227,0.389,0.021,0.056,0.653,1.19,"Kranj"
"1/25/2014",29,0.126,0.153,0.575,0.0232,0.0685,2.85,6.21,"Kranj"
"1/26/2014",35,0.0826,0.148,0.424,0.019,0.101,3.41,6.83,"Kranj"
"1/27/2014",52,0.289,0.275,0.76,0.0472,0.119,5.37,13.1,"Kranj"
"1/28/2014",64,0.113,0.0114,0.947,0.0236,0.107,5.81,17.2,"Kranj"
"1/29/2014",62,0.169,0.222,1.09,0.0225,0.149,5.97,10.1,"Kranj"
"1/30/2014",69,0.123,0.291,1.14,0.0219,0.116,6.65,9.85,"Kranj"
"1/31/2014",65,0.126,0.349,1.13,0.0252,0.128,5.66,6.45,"Kranj"
"2/1/2014",50,0.0996,0.384,0.853,0.0248,0.122,4.55,5.61,"Kranj"
"2/2/2014",26,0.051,0.231,0.474,0.014,0.0429,1.97,1.94,"Kranj"
"2/3/2014",31,0.0734,0.124,0.397,0.0199,0.075,3.08,2.74,"Kranj"
"2/4/2014",41,0.0856,0.0945,0.593,0.0228,0.0968,4.37,3.27,"Kranj"
"2/5/2014",48,0.0789,0.0816,0.737,0.0163,0.169,4.18,3.48,"Kranj"
"2/6/2014",50,0.12,0.287,0.799,0.00139,0.0662,3.57,2.34,"Kranj"
"2/7/2014",36,0.168,0.435,0.937,0.039,0.227,1.5,2.94,"Kranj"
"2/8/2014",37,0.0785,0.282,0.758,0.0179,0.084,1.3,1.68,"Kranj"
"2/9/2014",25,0.0697,0.305,0.565,0.0186,0.0896,0.735,1.67,"Kranj"
"2/10/2014",41,0.119,0.516,0.726,0.0207,0.112,2.59,4.1,"Kranj"
"2/11/2014",32,0.102,0.762,0.674,0.0215,0.078,1.09,2.39,"Kranj"
"2/12/2014",27,0.177,0.365,0.55,0.0243,0.0707,1.09,3.12,"Kranj"
"2/13/2014",24,0.179,0.264,0.534,0.0494,0.111,1.04,2.87,"Kranj"
"2/14/2014",16,0.126,0.119,0.323,0.0338,0.0582,0.6,1.65,"Kranj"
"2/15/2014",18,0.148,0.24,0.302,0.0727,0.285,0.596,2.09,"Kranj"
"2/16/2014",21,0.285,0.68,0.641,0.106,0.675,0.856,2.21,"Kranj"
"2/17/2014",26,0.109,0.384,0.592,0.0215,0.116,1.02,2.51,"Kranj"
"2/18/2014",28,0.0755,0.241,0.519,0.0198,0.0774,1.46,3.99,"Kranj"
"2/19/2014",37,0.228,0.66,0.844,0.0438,0.274,1.45,3.72,"Kranj"
"2/20/2014",13,0.117,0.187,0.308,0.0319,0.0601,0.612,1.9,"Kranj"
"2/21/2014",26,0.315,0.224,0.463,0.055,0.122,0.816,2.86,"Kranj"
"2/22/2014",30,0.119,0.273,0.644,0.0292,0.0767,1.92,4.21,"Kranj"
"2/23/2014",24,0.112,0.264,0.425,0.0286,0.0566,0.69,1.6,"Kranj"
"2/24/2014",28,0.377,0.157,0.413,0.106,0.143,0.841,2.02,"Kranj"
"2/25/2014",36,0.493,0.187,0.669,0.108,0.106,1.72,3.59,"Kranj"
"2/26/2014",33,0.566,0.239,0.739,0.128,0.15,1.67,5.22,"Kranj"
"2/27/2014",22,0.34,0.279,0.529,0.0899,0.262,0.711,1.75,"Kranj"
"2/28/2014",24,0.242,0.279,0.651,0.0729,0.184,1.03,3.26,"Kranj"
"3/1/2014",15,0.1,0.24,0.29,0.0445,0.154,1.12,2.9,"Kranj"
"3/2/2014",25,0.118,0.173,0.454,0.036,0.0888,1.69,1.77,"Kranj"
"3/3/2014",27,0.259,0.108,0.53,0.0669,0.0631,2.91,2.66,"Kranj"
"3/4/2014",23,0.236,0.167,0.491,0.0573,0.0622,1.71,1.94,"Kranj"
"3/5/2014",22,0.325,0.0847,0.735,0.0525,0.0599,1.4,1.02,"Kranj"
"3/6/2014",18,0.399,0.0711,0.304,0.0582,0.0357,1.47,0.952,"Kranj"
"3/7/2014",40,0.499,0.128,0.827,0.109,0.0999,3.81,6.34,"Kranj"
"3/8/2014",46,0.634,0.171,1.09,0.121,0.104,4.88,8.31,"Kranj"
"3/9/2014",38,0.306,0.143,0.791,0.0776,0.0837,3.03,4.92,"Kranj"
"3/10/2014",37,0.501,0.123,0.629,0.101,0.0813,2.95,3.94,"Kranj"
"3/11/2014",36,0.84,0.232,0.756,0.145,0.0886,2.03,3.83,"Kranj"
"3/12/2014",38,1.13,0.206,0.548,0.115,0.0844,1.05,2.97,"Kranj"
"3/13/2014",48,0.941,0.15,0.46,0.162,0.0961,2.33,6.8,"Kranj"
"3/14/2014",48,1.38,0.111,0.593,0.197,0.0984,1.78,5.47,"Kranj"
"3/15/2014",67,1.09,0.516,0.872,0.161,0.0958,6.55,19.6,"Kranj"
"3/16/2014",57,0.857,0.133,0.761,0.156,0.0855,6.27,17.5,"Kranj"
"3/17/2014",33,0.829,0.0794,0.435,0.116,0.0699,1.25,3.5,"Kranj"
"3/18/2014",46,1.42,0.129,0.612,0.188,0.106,4.16,13.6,"Kranj"
"3/19/2014",30,0.668,0.0753,0.331,0.125,0.0625,1.89,4.79,"Kranj"
"3/20/2014",27,0.831,0.101,0.278,0.0946,0.0768,0.433,4.39,"Kranj"
"3/21/2014",31,0.96,0.104,0.488,0.149,0.148,1.48,4.4,"Kranj"
"3/22/2014",30,0.466,0.21,0.429,0.105,0.171,2.7,5.07,"Kranj"
"3/23/2014",16,0.0885,0.199,0.306,0.031,0.118,1.17,1.62,"Kranj"
"3/24/2014",15,0.14,0.197,0.364,0.0451,0.0888,0.912,1.6,"Kranj"
"3/25/2014",19,0.299,0.169,0.346,0.102,0.0504,0.757,2.33,"Kranj"
"3/26/2014",23,0.275,0.2,0.321,0.0679,0.0379,1.53,4.01,"Kranj"
"3/27/2014",23,0.417,0.101,0.282,0.103,0.058,1.93,3.44,"Kranj"
"3/28/2014",20,0.479,0.0628,0.26,0.0865,0.0431,1.36,0.929,"Kranj"
"3/29/2014",20,0.465,0.124,0.223,0.0958,0.0487,1.06,0.812,"Kranj"
"3/30/2014",25,0.693,0.0708,0.371,0.0992,0.0702,0.959,1,"Kranj"
"3/31/2014",37,1.3,0.0754,0.296,0.139,0.0698,1.21,3.3,"Kranj"
"4/1/2014",38,1.35,0.0721,0.423,0.186,0.0747,1.85,5.15,"Kranj"
"4/2/2014",37,1.29,0.0727,0.365,0.182,0.194,1.44,4.58,"Kranj"
"4/3/2014",41,1.49,0.214,0.426,0.215,0.314,1.82,5.94,"Kranj"
"4/4/2014",36,1.28,0.158,0.278,0.13,0.217,0.826,2.32,"Kranj"
"4/5/2014",23,0.556,0.0979,0.21,0.0726,0.107,0.815,1.83,"Kranj"
"4/6/2014",22,0.535,0.0633,0.269,0.0785,0.0751,1.21,1.87,"Kranj"
"4/7/2014",24,0.757,0.0724,0.209,0.121,0.0557,0.982,1.61,"Kranj"
"4/8/2014",22,0.801,0.0663,0.217,0.115,0.0661,0.897,1.91,"Kranj"
"4/9/2014",5.9,0.163,0.0526,0.0703,0.036,0.0677,0.247,0.442,"Kranj"
"4/10/2014",11,0.307,0.0575,0.0975,0.0593,0.143,0.257,1.02,"Kranj"
"4/11/2014",14,0.34,0.0532,0.123,0.0624,0.0375,0.67,2.41,"Kranj"
"4/12/2014",16,0.266,0.063,0.152,0.0539,0.0447,0.594,1.59,"Kranj"
"4/13/2014",13,0.14,0.0532,0.207,0.0392,0.0299,0.496,0.792,"Kranj"
"4/14/2014",14,0.27,0.0547,0.139,0.0533,0.0544,0.708,1.43,"Kranj"
"4/15/2014",3.5,0.154,0.0795,0.0509,0.0332,0.034,0.16,0.329,"Kranj"
"4/16/2014",6.4,0.216,0.0474,0.0629,0.0365,0.0583,0.169,0.361,"Kranj"
"4/17/2014",11,0.336,0.044,0.14,0.0534,0.061,0.434,0.634,"Kranj"
"4/18/2014",15,0.445,0.0438,0.147,0.0607,0.0527,0.474,0.699,"Kranj"
"4/19/2014",14,0.257,0.0114,0.132,0.0579,0.0647,0.765,0.592,"Kranj"
"4/20/2014",7.7,0.0572,0.0525,0.169,0.0144,0.0248,0.457,0.646,"Kranj"
"4/21/2014",7.7,0.0239,0.0685,0.0892,0.019,0.0559,0.424,0.679,"Kranj"
"4/22/2014",10,0.173,0.0516,0.112,0.0473,0.124,0.284,0.486,"Kranj"
"4/23/2014",9.2,0.365,0.0505,0.161,0.0536,0.0697,0.314,0.461,"Kranj"
"4/24/2014",13,0.412,0.043,0.182,0.0663,0.0288,0.565,0.396,"Kranj"
"4/25/2014",14,0.379,0.0435,0.176,0.0662,0.0398,0.549,0.367,"Kranj"
"4/26/2014",15,0.339,0.0462,0.21,0.0677,0.035,1.34,0.771,"Kranj"
"4/27/2014",16,0.167,0.0527,0.178,0.0315,0.0372,1.91,0.731,"Kranj"
"4/28/2014",15,0.183,0.0645,0.157,0.0376,0.0456,0.879,0.0487,"Kranj"
"4/29/2014",16,0.291,0.0473,0.173,0.0554,0.044,1,0.444,"Kranj"
"4/30/2014",18,0.205,0.0849,0.222,0.0479,0.0334,1.11,0.674,"Kranj"
"5/1/2014",20,0.136,0.0554,0.297,0.0311,0.0413,1.06,0.483,"Kranj"
"5/2/2014",12,0.0939,0.0419,0.138,0.0239,0.0277,0.831,0.349,"Kranj"
"5/3/2014",10,0.0795,0.0114,0.119,0.022,0.0126,0.773,0.27,"Kranj"
