Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2008-07-02,Sydney,10.8,19.2,0,4,9.7,26,31,55,35,1012.5,1011.2,14.6,18.8,No,No
2008-07-03,Sydney,9.2,17.9,0,3.2,9.6,17,7,63,42,1022.7,1020.8,10.7,17.4,No,Yes
2008-07-04,Sydney,8.2,15,1.2,2.4,0.4,20,9,84,88,1029,1028.2,9.1,12.9,Yes,Yes
2008-07-05,Sydney,9.1,17.4,14.2,1.6,2.5,11,15,78,48,1031.9,1028.9,11.3,16.8,Yes,No
2008-07-06,Sydney,8.3,18.4,0,2.2,7.8,15,4,84,59,1029.2,1025.7,9.8,17.7,No,No
2008-07-07,Sydney,9.7,19.8,0,2.2,4.3,9,11,87,55,1024.4,1019.7,11.3,19.3,No,No
2008-07-08,Sydney,10.5,17.2,0.2,1.6,5.5,11,7,80,49,1020.9,1017.4,12.1,16.4,No,No
2008-07-09,Sydney,6.9,13.3,0,2.8,4.6,15,20,57,43,1018,1015.7,9.6,13.2,No,Yes
2008-07-10,Sydney,7.2,15.8,1.8,2.4,4.9,11,26,58,38,1014.6,1010,10.2,15.8,Yes,No
2008-07-11,Sydney,10,16.5,0,4.8,9.8,24,20,46,27,1016.5,1017,11.3,16.1,No,No
2008-07-12,Sydney,5.7,15.9,0,3.4,8.3,17,13,67,45,1027.5,1023.5,7.8,15,No,No
2008-07-13,Sydney,7.8,17.3,0,2.6,0,4,17,67,58,1024.2,1021.2,11.5,17.1,No,No
2008-07-14,Sydney,10.1,23.1,0,1.8,6.1,0,7,80,54,1021.5,1017.3,12,22.9,No,No
2008-07-15,Sydney,9.7,19.8,0,1.8,9.7,20,11,81,70,1020.8,1018.4,11.1,17.4,No,No
2008-07-16,Sydney,8.9,18,0,2,9.6,13,11,81,50,1022.2,1019.1,10.8,17.4,No,No
2008-07-17,Sydney,8.2,18.5,0,1.4,9,15,17,84,38,1019.2,1013.3,10.1,17.3,No,No
2008-07-18,Sydney,8.2,18.7,0,4,8.7,13,39,73,21,1010.1,1007.3,10.1,17.9,No,No
2008-07-19,Sydney,8.1,18.2,0,3.4,9.5,4,6,53,32,1016.2,1014.1,10.9,18.2,No,No
2008-07-20,Sydney,10.8,17.6,0,3.2,0,6,4,41,55,1015.4,1008.6,14.6,16.8,No,Yes
2008-07-21,Sydney,10.4,17.5,2.8,1.6,9.7,26,31,56,31,1006.2,1008.1,13.1,16.7,Yes,No
2008-07-22,Sydney,7.2,15.1,0,3.8,10,19,22,52,31,1024.8,1025.2,8.8,13.9,No,No
2008-07-23,Sydney,5.5,14.7,0,4,4,22,19,67,61,1031.5,1029.6,7,14.1,No,Yes
2008-07-24,Sydney,6.9,15.9,7,0.2,1.7,19,22,95,70,1029.3,1025.4,10.9,14.7,Yes,Yes
2008-07-25,Sydney,9.8,12.7,8.8,2.4,0.1,15,17,93,81,1022.6,1020.1,10.5,12.6,Yes,Yes
2008-07-26,Sydney,6.2,17,16.2,1.4,8.6,24,13,79,47,1018.3,1014.3,8.4,15.5,Yes,No
